Visible,Hidden,Highest Rarity Included,Type,Batch Code / Try Me Box Demo,Series,Weight,,
angel.eyes,*ShiningStar*,Epic/Rare,2-Pack,"YH1505, YH1565, YH1155, YH2065, YH1825, YH3365",Series 1,42.91 Grams,,"To Submit a pattern, please fill out the form here. "
angel.eyes,z_STORM_z,Common,2-Pack,"YH1125, YH1505, YH2695",Series 1,,,All Keyboard options come with their respective exclusives. They're just not listed as those exact ones are always included.
butterflyx,TECHY-C4T,Epic/Rare,2-Pack,"YH1505, YH1565, YH1265, YH1825, YH2695",Series 1,42.97 Grams,,"While we have included the codes, there isn't enough evidence to say the codes give any more information to narrow down what the Hidden is for a specific visible, especially as they often still overlap."
butterflyx,z_STORM_z,Common,2-Pack,"YH1125, YH1505, YH2695",Series 1,,,"Rather than the codes, it seems the assortments are determined by the ""Try me"" sample on the boxes. Unfortunately, as these are often removed (and Clickeez can be moved around), it can still be hard to say for sure unless you find an untouched box. :("
bun^-^,happyval<3,Common,2-Pack,"YH1155, YH1505, YH2185, YH3365",Series 1,40.13 Grams,,"Similarly, the Limited Editions seem to just be random chance as the Hidden in any type, replacing one of the usual patterns. The_Lucky_Bunny has been found in 2-Packs, 5-Packs, and the Keyboard Packs."
bun^-^,honeyB,Common,2-Pack,"YH1125, YH2185, YH1505",Series 1,,,"Last Updated: June 30th, 2026"
Falling_Stars,COSMOS,Common,2-Pack,"YH1565, YH1265, YH3365",Series 1,40.49 Grams,,"Because people have asked, if you find this helpful & want to support in some way:"
Falling_Stars,StrwBrryMILK,Epic/Rare,2-Pack,"YH1125, YH2185, YH2695, YH1565, YH1765, YH3205",Series 1,,,Ko-Fi or Throne
goth.qt,xCHOCO_dip,Common,2-Pack,,Series 1,,,"And if you have issues with Google Spreadsheets, a mirror site will be set up soon."
patchy:>,DREAMYY~,Common,2-Pack,"YH1155, YH1505",Series 1,,,
~Meowch!~,berry_LEGEND,Legendary/Ultra Rare,2-Pack,"YH1155, YH1505, YH1265, YH1825, YH1565, YH3205, YH3365",Series 1,39.92-40.39 Grams,,
~Meowch!~,^PicnicParty^,Common,2-Pack,"YH1125, YH1765, YH2185, YH3205",Series 1,,,
Mshrm_Deer,xlunar_sky,Common,2-Pack,"YH1505, YH1265, YH3365",Series 1,40.44 Grams,,
Mshrm_Deer,YUMMYberry!,Common,2-Pack,"YH1125, YH1155, YH2185, YH2695",Series 1,,,
Mshrm_Deer,The_Lucky_Bunny,Limited Edition,2-Pack,YH2185,Series 1,44-45 Grams,,
StrwBryBear,COSMOS,Common,2-Pack,"YH1565, YH1265, YH1155, YH3365",Series 1,40.56 Grams,,
StrwBryBear,Ladybunny,Epic/Rare,2-Pack,"YH1125, YH1155, YH1765, YH2695",Series 1,,,
Swirlybunny,IAMGreenDog,Common,2-Pack,"YH1155, YH1565, YH1765, YH1265, YH2065, YH3205",Series 1,,,
Swirlybunny,kawaii_LEGEND,Legendary/Ultra Rare,2-Pack,"YH1125, YH1565, YH1505, YH2695",Series 1,,,
SUPAR-STAR,happyval<3,Common,2-Pack,"YH1125, YH1155",Series 1,,,
SUPAR-STAR,IAMGreenDog,Common,2-Pack,"YH1565, YH2185, YH3365",Series 1,,,
xCHOCO_dip,YUMMYberry!,Common,2-Pack,"YH1505, YH1265, YH2065, YH3365",Series 1,40.33 Grams,,
xCHOCO_dip,DREAMYY~,Common,2-Pack,YH1125,Series 1,,,
Star_STRUCK,ChocoxPuddin,Common,2-Pack,"YH1155, YH1505, YH2185, YH2065, YH3365",Series 1,40.77 Grams,,
Star_STRUCK,^PicnicParty^,Common,2-Pack,"YH1125, YH1265, YH1505",Series 1,,,
Unknown what was the Visible one.,The_Lucky_Bunny,Limited Edition,2-Pack,YH1125,Series 1,,,
"beau.x, STRAW_BERRY, Purplepupxx",^PicnicParty^ and z_STORM_z,Common,5-Pack,"YH1505, YH2065, YH3205, YH3365",Series 1,77.05 Grams,,
"beau.x, STRAW_BERRY, Purplepupxx",sky_LEGEND and happyval<3,Legendary/Ultra Rare,5-Pack,"YH0725, YH3205",Series 1,,,
"BerryWafflz, Flowacrown, xlunar_sky",happyval<3 and NeoGelato.xx,Common,5-Pack,,Series 1,,,
"butterflyx, angel.eyes, Falling_Stars",z_STORM_z and StrwBrryMILK,Epic/Rare,5-Pack,YH1155,Series 1,,,
"PetalPowerz, Flowacrown, NeoGelato.xx",Cuddly-bear and SillyBerry123,Epic/Rare,5-Pack,,Series 1,,,
"PetalPowerz, Flowacrown, NeoGelato.xx",BerryWafflz and CYBERPINK,Common,5-Pack,,Series 1,,,
"IAMGreenDog, goth.qt, BerryWafflz",honeyB and CYBERPINK,Common,5-Pack,"YH1505, YH0725, YH3205, YH1565",Series 1,,,
"PrissyRose1, Invasion!!, Ra1n_Bows",xlunar_sky and StrwBrryJAM,Epic/Rare,5-Pack,"YH0725, YH1265, YH1565, YH3205",Series 1,,,
"PrissyRose1, Invasion!!, Ra1n_Bows",BerryWafflz and SillyBerry123,Common,5-Pack,"YH1505, YH0725",Series 1,,,
"StrwbrrSWIRL, rainz, x.Night",cozy_LEGEND and SAKURA_KITTY,Legendary/Ultra Rare,5-Pack,"YH1505, YH3205, YH2695, YH1565",Series 1,,,
"StrwbrrSWIRL, rainz, x.Night",cozy_LEGEND and Day.x,Legendary/Ultra Rare,5-Pack,,Series 1,,,
"StrwbrrSWIRL, rainz, x.Night",SAKURA_KITTY and Day.x,Common,5-Pack,"YH0725, YH2065, YH3205",Series 1,,,
"YUMMYberry!, goth.qt, COSMOS",Day.x and DREAMYY~,Common,5-Pack,YH3205,Series 1,,,
"x.Twilight.x, Flowacrown, NeoGelato.xx",Cuddly-bear and SillyBerry123,Epic/Rare,5-Pack,YH3205,Series 1,,,
"x.Twilight.x, Flowacrown, NeoGelato.xx",BerryWafflz and CYBERPINK,Common,5-Pack,"YH1565, YH1505, YH3365",Series 1,77.74 Grams,,
"*StarExplorer*, Berry, PetalPowerz, NYAA~!!, xlunar_sky",Unknown which besides the Limited Edition,Limited Edition,Keyboard Starter Pack,,Series 1,,,
"*StarExplorer*, Berry, PetalPowerz, NYAA~!!, xlunar_sky","Shy, SUPAR-STAR, Sprinkles.x, ~Meowch!~, *StarDreamer*",Epic/Rare,Keyboard Starter Pack,"YH1125, YH1265, YH1505, YH3005",Series 1,,,
"*StarExplorer*, Berry, PetalPowerz, NYAA~!!, xlunar_sky","Shy, SUPAR-STAR, Sprinkles.x, ~Meowch!~, Flutterdeery",Epic/Rare,Keyboard Starter Pack,"YH2185, YH1505, YH2885",Series 1,,,
"NIGHTLIGHT, Saturnz, SillyBerry123, Ra1n_Bows, BumbleKitty","Yume, PrissyRose1, Mshrm_Deer, StrwBrryCAKE, and one other",Epic/Rare,Keyboard Starter Pack,,Series 1,,,
"NIGHTLIGHT, Saturnz, SillyBerry123, Ra1n_Bows, BumbleKitty","StrwbrrSWIRL, Yume, PrissyRose1, Estella, StrwBrryCAKE",Epic/Rare,Keyboard Starter Pack,"YH1155, YH1505, YH2885",Series 1,,,
"NIGHTLIGHT, Saturnz, SillyBerry123, Ra1n_Bows, BumbleKitty","Giggly-bunny, PrissyRose1, honeyB, and two others",Epic/Rare,Keyboard Starter Pack,,Series 1,,,
"NIGHTLIGHT, Saturnz, SillyBerry123, Ra1n_Bows, BumbleKitty","Giggly-bunny, PrissyRose1, StrwbrrSWIRL, Yume, Estella",Epic/Rare,Keyboard Starter Pack,"YH1505, YH2885",Series 1,,,
"~Meowch!~, xCHOCO_dip, butterflyx, Estella",goth.qt,Common,Controller,YH1505,Series 1,,,
"Purplepupxx, Star_STRUCK, Sprinkles.x",rainz,Common,Fidget Cube,"YH1155, YH1505, YH1265",Series 1,,,
N/A,Sprinkles.x,Common,Single Blind Bag,,Series 1,,,
N/A,Invasion!!,Common,Single Blind Bag,,Series 1,,,
berry<3banana,Sourpup123,Common,2-Pack,YH2905,Series 2,,,
berry<3banana,pearly~bear,Epic/Rare,2-Pack,YH2905,Series 2,,,
IAmBlueDog,cuteSea<3,Common,2-Pack,YH2905,Series 2,,,
IAmBlueDog,.:SANDY:.,Common,2-Pack,YH2905,Series 2,,,
mermy<3,groovySmoothie,Common,2-Pack,YH2905,Series 2,,,
mermy<3,~~StarrySea~~,Common,2-Pack,,Series 2,,,
Multi.Fruity,LookingFresh!,Common,2-Pack,YH2905,Series 2,,,
Multi.Fruity,~~StarrySea~~,Common,2-Pack,,Series 2,,,
princess.x,Juicy_LEGEND,Legendary/Ultra Rare,2-Pack,YH2905,Series 2,,,
princess.x,cuteSea<3,Common,2-Pack,YH2905,Series 2,,,
SPLASH!,^Pink.Dragon^,Epic/Rare,2-Pack,YH2905,Series 2,,,
SPLASH!,1AppleADay,Common,2-Pack,"YH2905, YH3005",Series 2,,,
"kiwheeeee, squeeze^.^, Oceansong~",LookingFresh! and .:SANDY:.,Common,5-Pack,YH3005,Series 2,,,
"kiwheeeee, squeeze^.^, Oceansong~",Pearly_LEGEND and Sourpup123,Legendary/Ultra Rare,5-Pack,YH2905,Series 2,,,
"x.raspy.x, goinbananas, Ahoymatey!",groovySmoothie and ocean~pup,Epic/Rare,5-Pack,YH3205,Series 2,,,
"x.raspy.x, goinbananas, Ahoymatey!",The_Pearly_Deer and groovySmoothie,Limited Edition,5-Pack,,Series 2,,,
"*SeaPuppy**, BubblyBear!, Fruity-Fusion!",1AppleADay and *Pink.Pine*,Epic/Rare,5-Pack,,Series 2,,,
"*SeaPuppy**, BubblyBear!, Fruity-Fusion!",<3sillysea and x.kissyfishy.x,Common,5-Pack,,Series 2,,,
berry.milky,forestberry,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
berry.milky,Twinkle!,Common,2-Pack,Try Me: mooOOOse,Series 3,,,
mooOOOse,magic_LEGEND,Legendary/Ultra Rare,2-Pack,"Try Me: IAmBlueMouse, YH0796",Series 3,,,
mooOOOse,forestberry,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
Top-Tier,Shine!,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
Top-Tier,sweetie-roll,Common,2-Pack,Try Me: mooOOOse,Series 3,,,
D33RY,just-a-gorl:p,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
D33RY,sweetie-roll,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
SW~RLY,FAUNA,Epic/Rare,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
SW~RLY,munch-oui,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
MushMouse,*conjure*,Epic/Rare,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
MushMouse,Girly-POP!,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
Twinkle!,Annie.x,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
*milky*sl4y*,!Mossy,Common,2-Pack,"Try Me: IAmBlueMouse, YH0796",Series 3,,,
*milky*sl4y*,bakery_LEGEND,Legendary/Ultra Rare,2-Pack,Try Me: mooOOOse,Series 3,,,
its_givin_OwO,on~a~roll,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
its_givin_OwO,!Mossy,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
.o*.GLIMMER.*o.,on~a~roll,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
.o*.GLIMMER.*o.,Shine!,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
Tadaaaa!!,Girly-POP!,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
Tadaaaa!!,softie,Epic/Rare,2-Pack,Try Me: mooOOOse,Series 3,,,
nerdy-XOXO,munch-oui,Common,2-Pack,Try Me: IAmBlueMouse,Series 3,,,
nerdy-XOXO,~cinnyyy~,Epic/Rare,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
Annie.x,acorn.<3,Common,2-Pack,"Try Me: mooOOOse, YH0796",Series 3,,,
Annie.x,Twinkle!,Common,2-Pack,,Series 3,30.2 Grams,,
"Axo-Lottie, Toast-Ouioui, Sparkle!",IAmBlueMouse and just>a<baby,Common,5-Pack,YH0856,Series 3,,,
"Axo-Lottie, Toast-Ouioui, Sparkle!",Shine! and ~!FROGGY!~,Common,5-Pack,,Series 3,,,
"forestberry, W4FFLES, CASTaSPELL",#cherryyy# and Squ33ky,Epic/Rare,5-Pack,,Series 3,,,
"forestberry, W4FFLES, CASTaSPELL",#cherryyy# and C00kieeeee-,Epic/Rare,5-Pack,,Series 3,,,
"Squ33Ky, BirthYAY<3, F0XY",pink_LEGEND and Twinkle!,Legendary/Ultra Rare,5-Pack,YH0856,Series 3,,,
"Squ33Ky, BirthYAY<3, F0XY",MushMouse and nerdy-XOXO,Common,5-Pack,,Series 3,,,
"Gr00vy, Lily.paddily, Crystal.x",Toast-Ouioui and C00kieeeee-,Common,5-Pack,,Series 3,,,
"Gr00vy, Lily.paddily, Crystal.x",Girly-POP! and *enchanting*,Epic/Rare,5-Pack,YH0856,Series 3,,,
"..jammy.cowkie.., /Pretty/Preppy/, ABRACADABRA!",acorn.<3 and FLORA ,Epic/Rare,5-Pack,,Series 3,,,
"cherry.on.top, IAmBlueMouse, ~!FROGGY!~, its_givin_OwO, !Mossy, cutie~puff, YAPPY123","-.CHARM.-, Ballerina<3, FLOWA-POWAR, *fluffyyy*, sweetie-roll ",Epic/Rare,12-Pack,,Series 3,,,
"cherry.on.top, IAmBlueMouse, ~!FROGGY!~, its_givin_OwO, !Mossy, cutie~puff, YAPPY123","Cake-POP!!, acorn.<3, Sparkle!, Toast-Ouioui, DIVA!",Epic/Rare,12-Pack,,Series 3,,,
"W4FFLES, *Bubbles*, just>a<baby, berry.milky, Crystal.x, ABRACADABRA!, some.grass","Cake-POP!!, ..jammy.cowkie.., nerdy-XOXO, Sparkle!, FLY",Epic/Rare,12-Pack,,Series 3,,,
"W4FFLES, *Bubbles*, just>a<baby, berry.milky, Crystal.x, ABRACADABRA!, some.grass","*familiar*, Lily.paddily, forest_LEGEND, mooOOOse, -.CHARM.-",Legendary/Ultra Rare,12-Pack,,Series 3,,,
"sweetie-roll, #cherryyy#, Lily-paddily","GirlBoss, Girly-POP!, Squ33ky, forestberry, mooOOOse",Epic/Rare,Keyboard Starter Pack,"YH0856, YH1206",Series 3,618.4-623.1 Grams,,
"sweetie-roll, #cherryyy#, Lily-paddily","just>a<baby, Cake-POP!!, acorn.<3, CASTaSPELL, GirlBoss",Epic/Rare,Keyboard Starter Pack,YH1206,Series 3,616.7 Grams,,
"FAUNA, FLOWA-POWAR, IAmBlueMouse","W4FFLES, Ballerina<3, some.grass, Twinkle!, GirlBoss",Epic/Rare,Keyboard Starter Pack,,Series 3,614.5 Grams,,
"FAUNA, FLOWA-POWAR, IAmBlueMouse","YAPPY123, SW~RLY, ~!FROGGY!~, Tadaaa!!, GirlBoss",Epic/Rare,Keyboard Starter Pack,YH1206,,616.5 Grams,,
